"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"Finland.Finland.568","Finland",1998,1.39913088311116,5.42851256695509,7.83761391880728,4.44991096328404,5.264167,-34.4214815468494,-5.18675037045896,2.94005093646226,-1.1650712759442,1.538,46.862,3.2585036916905,-81.7928889660946,5.014,13.0429271590333,5.84439161149832,-1.2,2.55720213396562,25.379999,31.7602768039513,1,0,"0",0
"Finland.Finland.569","Finland",1999,1.15926504875152,4.44413427315236,7.66748617086637,4.68519960839866,5.636667,38.2686130479186,-1.12742348973913,-82.4429120558848,0.791703518150534,1.595,44.009,3.11072735122361,3.16944000000001,5.148,6.45486824892543,-2.24902444150914,-1.225,0.898193209798048,24.360001,33.0948384299002,1,0,"0",0
"Finland.Finland.570","Finland",2000,3.36766688740135,5.63484745219101,8.49150849150837,4.09217644881066,6.029167,53.4148501304938,-4.06368918131708,15.3962754439151,0.791703518150534,6.736,42.486,2.09480770136045,-11.14968,7.544,10.4451934555158,-6.42479040725875,-0.4,4.13936116584941,27.93,34.8871787990067,1,0,"0",0
"Finland.Finland.571","Finland",2001,2.56623896017328,2.58079207545021,8.33991054985566,0.975981833932127,5.0175,-16.5916713904271,-2.16039550834222,3.12639571237159,0.791703518150534,4.898,40.947,1.13317214936381,-13.03724,8.056,5.15942397558573,0.178401729637434,-0.675000000000001,0.743698911955293,23.780001,35.7061533300355,1,0,"0",0
"Finland.Finland.572","Finland",2002,1.5621445978879,1.68032508894931,9.13064594463338,1.78612768745552,4.610833,0.776871746321239,0.499712700374721,-5.28764805414552,2.7741010574391,3.979,40.17,-0.019915359721185,-8.65504,8.194,-3.05018137847642,1.26019789727592,-0.0249999999999986,1.23289615934827,28.74,36.2182401573648,1,0,"0",0
"Finland.Finland.573","Finland",2003,0.877438551306563,1.99398408693965,10.0356030262568,2.80677595648093,4.015,12.6483302160957,3.39076094649595,-16.4073550212164,4.8493262869413,2.342,42.738,-0.173148018157144,7.35088,4.636,3.05883820273767,0.645495916660876,-0.100000000000001,2.12508899484369,17.959999,36.8524439237464,1,0,"0",0
"Finland.Finland.574","Finland",2004,0.187123374563911,3.92605717547447,10.1112234580387,3.78574284969444,4.274167,29.2802993398191,-1.50078593771775,-9.06021384355655,3.4967622898993,2.161,42.648,-0.168823860438942,15.55831,5.955,6.90124652063415,-1.86653387993826,-0.199999999999999,4.16384992394794,13.39,38.1882510919027,1,0,"0",0
"Finland.Finland.575","Finland",2005,0.861059229478597,2.77995503098056,11.3957759412304,3.34521606334877,4.29,37.8137412594648,-0.246723654023984,-0.0160758781448389,5.53335727504351,2.593,39.937,-0.110173523299196,13.08869,3.209,6.80949820281322,-4.71082260361763,-0.4,-0.0354919179832436,12.25,39.1157647931549,1,0,"0",0
"Finland.Finland.576","Finland",2006,1.56666666666664,4.05519744386182,12.7194790206908,2.666625826122,4.791667,15.7502741152586,-0.022102660752843,-0.915896782414793,4.1466758322279,3.931,38.059,-0.517617383536089,11.7484,3.782,4.22639709584249,-1.45134239310382,-0.699999999999999,2.05317562564036,12.16,40.5460807261049,1,0,"0",0
"Finland.Finland.577","Finland",2007,2.51066622907786,5.18480080885459,14.231388035688,1.77857023965289,4.629167,8.04419884300431,-5.78175913099865,-8.38380153228748,2.9581329125589,5.129,33.993,-1.00020592474921,22.11155,3.837,14.6667005643972,3.43049154779511,-0.825,3.10825720902954,22.58,42.4672609961997,1,0,"0",0
